node,role,window_start_s,window_end_s,heartbeats_expected,heartbeats_received,loss_pct,last_seen_s,owd_mean_ms
SAF_01,saf,16,29,14,14,0.00,29.00,0.02
SAF_02,saf,16,29,14,0,100.00,,0.00
SAF_03,saf,16,29,14,0,100.00,,0.00
SAF_04,saf,16,29,14,0,100.00,,0.00
SAF_05,saf,16,29,14,0,100.00,,0.00
SAF_06,saf,16,29,14,0,100.00,,0.00
SAF_07,saf,16,29,14,14,0.00,29.00,0.04
ER_01,er,16,29,14,14,0.00,29.01,12.93
CPE_01,cpe,16,29,14,14,0.00,29.01,12.93
RM_01,rm,16,29,14,0,100.00,,0.00
ER_02,er,16,29,14,14,0.00,29.01,12.93
CPE_02,cpe,16,29,14,14,0.00,29.01,12.93
RM_02,rm,16,29,14,0,100.00,,0.00
ER_03,er,16,29,14,14,0.00,29.01,12.93
CPE_03,cpe,16,29,14,14,0.00,29.01,12.93
RM_03,rm,16,29,14,0,100.00,,0.00
ER_04,er,16,29,14,14,0.00,29.01,12.93
CPE_04,cpe,16,29,14,14,0.00,29.01,12.93
RM_04,rm,16,29,14,0,100.00,,0.00
ER_05,er,16,29,14,14,0.00,29.02,17.90
CPE_05,cpe,16,29,14,14,0.00,29.01,12.93
RM_05,rm,16,29,14,14,0.00,29.01,14.96
ER_06,er,16,29,14,0,100.00,,0.00
CPE_06,cpe,16,29,14,14,0.00,29.01,12.93
RM_06,rm,16,29,14,0,100.00,,0.00
ER_07,er,16,29,14,14,0.00,29.01,13.93
CPE_07,cpe,16,29,14,14,0.00,29.01,12.93
RM_07,rm,16,29,14,0,100.00,,0.00
ER_08,er,16,29,14,14,0.00,29.01,12.93
CPE_08,cpe,16,29,14,14,0.00,29.01,12.93
RM_08,rm,16,29,14,14,0.00,29.01,14.99
ER_09,er,16,29,14,14,0.00,29.01,12.93
CPE_09,cpe,16,29,14,14,0.00,29.01,12.93
RM_09,rm,16,29,14,0,100.00,,0.00
ER_10,er,16,29,14,14,0.00,29.02,17.92
CPE_10,cpe,16,29,14,14,0.00,29.01,12.93
RM_10,rm,16,29,14,14,0.00,29.01,14.98
ER_11,er,16,29,14,14,0.00,29.01,13.93
CPE_11,cpe,16,29,14,14,0.00,29.01,12.93
RM_11,rm,16,29,14,0,100.00,,0.00
ER_12,er,16,29,14,14,0.00,29.01,14.93
CPE_12,cpe,16,29,14,14,0.00,29.01,13.93
RM_12,rm,16,29,14,0,100.00,,0.00
ER_13,er,16,29,14,14,0.00,29.01,12.93
CPE_13,cpe,16,29,14,14,0.00,29.01,12.93
RM_13,rm,16,29,14,0,100.00,,0.00
ER_14,er,16,29,14,14,0.00,29.01,13.93
CPE_14,cpe,16,29,14,14,0.00,29.01,12.93
RM_14,rm,16,29,14,0,100.00,,0.00
ER_15,er,16,29,14,14,0.00,29.01,13.93
CPE_15,cpe,16,29,14,14,0.00,29.01,12.93
RM_15,rm,16,29,14,0,100.00,,0.00
