site,sequence,sent_s,rtt_ms
ER_01,0,2.037,18.9294
ER_01,1,4.037,18.9294
ER_01,2,6.037,18.9294
ER_01,3,8.037,18.9294
ER_01,4,10.037,18.9294
ER_01,5,12.037,18.9294
ER_01,6,14.037,18.9294
ER_01,7,16.037,18.9294
ER_01,8,18.037,18.9294
ER_01,9,20.037,18.9294
ER_01,10,22.037,18.9294
ER_01,11,24.037,18.9294
ER_01,12,26.037,18.9294
ER_01,13,28.037,18.9294
ER_01,14,30.037,18.9294
ER_01,15,32.037,18.9294
ER_01,16,34.037,18.9294
ER_01,17,36.037,18.9294
ER_01,18,38.037,18.9294
ER_01,19,40.037,18.9294
ER_01,20,42.037,18.9294
ER_01,21,44.037,18.9294
ER_01,22,46.037,18.9294
ER_01,23,48.037,18.9294
ER_01,24,50.037,18.9294
ER_01,25,52.037,18.9294
ER_01,26,54.037,18.9294
ER_01,27,56.037,18.9294
ER_01,28,58.037,18.9294
ER_02,0,2.074,18.9294
ER_02,1,4.074,18.9294
ER_02,2,6.074,18.9294
ER_02,3,8.074,18.9294
ER_02,4,10.074,18.9294
ER_02,5,12.074,18.9294
ER_02,6,14.074,18.9294
ER_02,7,16.074,18.9294
ER_02,8,18.074,18.9294
ER_02,9,20.074,18.9294
ER_02,10,22.074,18.9294
ER_02,11,24.074,18.9294
ER_02,12,26.074,18.9294
ER_02,13,28.074,18.9294
ER_02,14,30.074,18.9294
ER_02,15,32.074,18.9294
ER_02,16,34.074,18.9294
ER_02,17,36.074,18.9294
ER_02,18,38.074,18.9294
ER_02,19,40.074,18.9294
ER_02,20,42.074,18.9294
ER_02,21,44.074,18.9294
ER_02,22,46.074,18.9294
ER_02,23,48.074,18.9294
ER_02,24,50.074,18.9294
ER_02,25,52.074,18.9294
ER_02,26,54.074,18.9294
ER_02,27,56.074,18.9294
ER_02,28,58.074,18.9294
ER_03,0,2.111,18.9294
ER_03,1,4.111,18.9294
ER_03,2,6.111,18.9294
ER_03,3,8.111,18.9294
ER_03,4,10.111,18.9294
ER_03,5,12.111,18.9294
ER_03,6,14.111,18.9294
ER_03,7,16.111,18.9294
ER_03,8,18.111,18.9294
ER_03,9,20.111,18.9294
ER_03,10,22.111,18.9294
ER_03,11,24.111,18.9294
ER_03,12,26.111,18.9294
ER_03,13,28.111,18.9294
ER_03,14,30.111,18.9294
ER_03,15,32.111,18.9294
ER_03,16,34.111,18.9294
ER_03,17,36.111,18.9294
ER_03,18,38.111,18.9294
ER_03,19,40.111,18.9294
ER_03,20,42.111,18.9294
ER_03,21,44.111,18.9294
ER_03,22,46.111,18.9294
ER_03,23,48.111,18.9294
ER_03,24,50.111,18.9294
ER_03,25,52.111,18.9294
ER_03,26,54.111,18.9294
ER_03,27,56.111,18.9294
ER_03,28,58.111,18.9294
ER_04,0,2.148,18.9294
ER_04,1,4.148,18.9294
ER_04,2,6.148,18.9294
ER_04,3,8.148,18.9294
ER_04,4,10.148,18.9294
ER_04,5,12.148,18.9294
ER_04,6,14.148,18.9294
ER_04,7,16.148,18.9294
ER_04,8,18.148,18.9294
ER_04,9,20.148,18.9294
ER_04,10,22.148,18.9294
ER_04,11,24.148,18.9294
ER_04,12,26.148,18.9294
ER_04,13,28.148,18.9294
ER_04,14,30.148,18.9294
ER_04,15,32.148,18.9294
ER_04,16,34.148,18.9294
ER_04,17,36.148,18.9294
ER_04,18,38.148,18.9294
ER_04,19,40.148,18.9294
ER_04,20,42.148,18.9294
ER_04,21,44.148,18.9294
ER_04,22,46.148,18.9294
ER_04,23,48.148,18.9294
ER_04,24,50.148,18.9294
ER_04,25,52.148,18.9294
ER_04,26,54.148,18.9294
ER_04,27,56.148,18.9294
ER_04,28,58.148,18.9294
ER_05,0,2.185,36.7604
ER_05,1,4.185,36.7604
ER_05,2,6.185,36.7604
ER_05,3,8.185,36.7604
ER_05,4,10.185,36.7604
ER_05,5,12.185,36.7604
ER_05,6,14.185,36.7604
ER_05,7,16.185,36.7604
ER_05,8,18.185,36.7604
ER_05,9,20.185,36.7604
ER_05,10,22.185,36.7604
ER_05,11,24.185,36.7604
ER_05,12,26.185,36.7604
ER_05,13,28.185,36.7604
ER_05,14,30.185,36.7604
ER_05,15,32.185,36.7604
ER_05,16,34.185,36.7604
ER_05,17,36.185,36.7604
ER_05,18,38.185,36.7604
ER_05,19,40.185,36.7604
ER_05,20,42.185,36.7604
ER_05,21,44.185,36.7604
ER_05,22,46.185,36.7604
ER_05,23,48.185,36.7604
ER_05,24,50.185,36.7604
ER_05,25,52.185,36.7604
ER_05,26,54.185,36.7604
ER_05,27,56.185,36.7604
ER_05,28,58.185,36.7604
ER_06,0,2.222,98.6694
ER_06,1,4.222,98.6694
ER_06,2,6.222,98.6694
ER_06,3,8.222,98.6694
ER_06,4,10.222,
ER_06,5,12.222,
ER_06,6,14.222,
ER_06,7,16.222,
ER_06,8,18.222,
ER_06,9,20.222,
ER_06,10,22.222,
ER_06,11,24.222,
ER_06,12,26.222,
ER_06,13,28.222,
ER_06,14,30.222,
ER_06,15,32.222,18.9294
ER_06,16,34.222,18.9294
