site,sequence,sent_s,rtt_ms
ER_01,0,2.037,18.9294
ER_01,1,4.037,18.9294
ER_01,2,6.037,18.9294
ER_01,3,8.037,18.9294
ER_01,4,10.037,18.9294
ER_01,5,12.037,18.9294
ER_01,6,14.037,18.9294
ER_01,7,16.037,18.9294
ER_01,8,18.037,18.9294
ER_01,9,20.037,18.9294
ER_01,10,22.037,18.9294
ER_01,11,24.037,18.9294
ER_01,12,26.037,18.9294
ER_01,13,28.037,18.9294
ER_02,0,2.074,18.9294
ER_02,1,4.074,18.9294
ER_02,2,6.074,18.9294
ER_02,3,8.074,18.9294
ER_02,4,10.074,18.9294
ER_02,5,12.074,18.9294
ER_02,6,14.074,18.9294
ER_02,7,16.074,18.9294
ER_02,8,18.074,18.9294
ER_02,9,20.074,18.9294
ER_02,10,22.074,18.9294
ER_02,11,24.074,18.9294
ER_02,12,26.074,18.9294
ER_02,13,28.074,18.9294
ER_03,0,2.111,18.9294
ER_03,1,4.111,18.9294
ER_03,2,6.111,18.9294
ER_03,3,8.111,18.9294
ER_03,4,10.111,18.9294
ER_03,5,12.111,18.9294
ER_03,6,14.111,18.9294
ER_03,7,16.111,18.9294
ER_03,8,18.111,18.9294
ER_03,9,20.111,18.9294
ER_03,10,22.111,18.9294
ER_03,11,24.111,18.9294
ER_03,12,26.111,18.9294
ER_03,13,28.111,18.9294
ER_04,0,2.148,18.9294
ER_04,1,4.148,18.9294
ER_04,2,6.148,18.9294
ER_04,3,8.148,18.9294
ER_04,4,10.148,18.9294
ER_04,5,12.148,18.9294
ER_04,6,14.148,18.9294
ER_04,7,16.148,18.9294
ER_04,8,18.148,18.9294
ER_04,9,20.148,18.9294
ER_04,10,22.148,18.9294
ER_04,11,24.148,18.9294
ER_04,12,26.148,18.9294
ER_04,13,28.148,18.9294
ER_05,0,2.185,36.7604
ER_05,1,4.185,36.7604
ER_05,2,6.185,36.7604
ER_05,3,8.185,36.7604
ER_05,4,10.185,36.7604
ER_05,5,12.185,36.7604
ER_05,6,14.185,36.7604
ER_05,7,16.185,36.7604
ER_05,8,18.185,36.7604
ER_05,9,20.185,36.7604
ER_05,10,22.185,36.7604
ER_05,11,24.185,36.7604
ER_05,12,26.185,36.7604
ER_05,13,28.185,36.7604
ER_06,0,2.222,98.6694
ER_06,1,4.222,98.6694
ER_06,2,6.222,98.6694
ER_06,3,8.222,98.6694
ER_06,4,10.222,
ER_06,5,12.222,
ER_06,6,14.222,
ER_06,7,16.222,
ER_06,8,18.222,
ER_06,9,20.222,
ER_06,10,22.222,
ER_06,11,24.222,
ER_06,12,26.222,
ER_06,13,28.222,
ER_07,0,2.259,18.9294
ER_07,1,4.259,18.9294
ER_07,2,6.259,18.9294
ER_07,3,8.259,18.9294
ER_07,4,10.259,18.9294
ER_07,5,12.259,18.9294
ER_07,6,14.259,18.9294
ER_07,7,16.259,18.9294
ER_07,8,18.259,18.9294
ER_07,9,20.259,18.9294
ER_07,10,22.259,18.9294
ER_07,11,24.259,18.9294
ER_07,12,26.259,18.9294
ER_07,13,28.259,18.9294
ER_08,0,2.296,18.9294
ER_08,1,4.296,18.9294
ER_08,2,6.296,18.9294
ER_08,3,8.296,18.9294
ER_08,4,10.296,18.9294
ER_08,5,12.296,18.9294
ER_08,6,14.296,18.9294
ER_08,7,16.296,18.9294
ER_08,8,18.296,18.9294
ER_08,9,20.296,18.9294
ER_08,10,22.296,18.9294
ER_08,11,24.296,18.9294
ER_08,12,26.296,18.9294
ER_08,13,28.296,18.9294
ER_09,0,2.333,18.9294
ER_09,1,4.333,18.9294
ER_09,2,6.333,18.9294
ER_09,3,8.333,18.9294
ER_09,4,10.333,18.9294
ER_09,5,12.333,18.9294
ER_09,6,14.333,18.9294
ER_09,7,16.333,18.9294
ER_09,8,18.333,18.9294
ER_09,9,20.333,18.9294
ER_09,10,22.333,18.9294
ER_09,11,24.333,18.9294
ER_09,12,26.333,18.9294
ER_09,13,28.333,18.9294
ER_10,0,2.37,36.8024
ER_10,1,4.37,36.8024
ER_10,2,6.37,36.8024
ER_10,3,8.37,36.8024
ER_10,4,10.37,36.8024
ER_10,5,12.37,36.8024
ER_10,6,14.37,36.8024
ER_10,7,16.37,36.8024
ER_10,8,18.37,36.8024
ER_10,9,20.37,36.8024
ER_10,10,22.37,36.8024
ER_10,11,24.37,36.8024
ER_10,12,26.37,36.8024
ER_10,13,28.37,36.8024
ER_11,0,2.407,18.9294
ER_11,1,4.407,18.9294
ER_11,2,6.407,18.9294
ER_11,3,8.407,18.9294
ER_11,4,10.407,18.9294
ER_11,5,12.407,18.9294
ER_11,6,14.407,18.9294
ER_11,7,16.407,18.9294
ER_11,8,18.407,18.9294
ER_11,9,20.407,18.9294
ER_11,10,22.407,18.9294
ER_11,11,24.407,18.9294
ER_11,12,26.407,18.9294
ER_11,13,28.407,18.9294
ER_12,0,2.444,18.9294
ER_12,1,4.444,18.9294
ER_12,2,6.444,18.9294
ER_12,3,8.444,18.9294
ER_12,4,10.444,18.9294
ER_12,5,12.444,18.9294
ER_12,6,14.444,18.9294
